58	1502	8	16	1520	103	21
59	1502	9	16	1520	104	21
63	1520	70	15	1521	48	80
64	1520	79	15	1521	50	80
65	1520	74	19	1521	49	80
66	1520	75	19	1521	49	80
68	1506	16	19	1521	94	71
69	1506	17	19	1521	95	71
71	1510	7	14	1521	78	71
72	1510	8	14	1521	79	71
74	1509	7	14	1521	66	71
75	1509	8	14	1521	67	71
76	1504	29	18	1521	0	74
77	1504	29	19	1521	0	75
79	1508	7	14	1521	31	71
80	1508	8	14	1521	32	71
82	1507	7	14	1521	17	71
83	1507	8	14	1521	18	71
87	1511	8	19	1521	49	22
88	1511	9	19	1521	50	22
90	1511	16	3	1518	0	3
91	1511	16	4	1518	0	4
92	1512	0	7	1518	35	3
93	1512	0	8	1518	35	4
99	1000	154	29	1201	14	23
100	1000	153	29	1201	14	23
101	1201	13	7	1202	11	45
102	1201	14	7	1202	12	45
103	1201	15	7	1202	13	45
104	1201	5	14	1203	21	13
105	1201	5	15	1203	21	14
106	1203	16	13	1204	40	35
108	1201	23	14	1205	9	23
109	1201	23	15	1205	9	24
110	1201	21	9	1206	42	40
111	1201	22	9	1206	43	40
112	1400	14	6	1401	33	67
113	1400	15	6	1401	34	67
114	1400	16	6	1401	35	67
115	1401	34	8	1402	23	34
116	1401	35	8	1402	24	34
117	1401	58	58	1403	5	6
118	1401	58	59	1403	5	7
119	1000	122	161	1400	14	23
120	1000	123	161	1400	15	23
121	1400	27	14	1403	5	31
122	1400	27	15	1403	5	32
123	1000	201	108	1012	17	24
124	1000	94	98	1011	4	13
125	1000	221	83	1112	12	42
126	1000	102	108	1022	15	24
127	1000	216	99	1021	4	13
128	1000	196	78	1031	4	13
129	1041	3	13	1000	94	78
130	1000	94	78	1041	3	13
131	1000	72	104	1061	15	24
134	1000	191	37	1051	15	24
135	1051	15	24	1000	191	37
136	2000	52	39	2010	14	20
137	2000	35	25	2001	5	13
138	2012	6	13	2000	47	83
139	2000	47	83	2012	6	13
140	2000	35	42	2013	9	16
141	2000	42	72	2014	2	9
142	2100	40	36	2112	9	16
143	2112	10	16	2100	40	36
144	2112	18	10	2198	0	5
145	2112	18	11	2198	0	6
146	2100	49	58	2120	3	9
147	2120	3	10	2100	49	58
148	2100	37	52	2121	3	9
149	2121	3	10	2100	37	52
154	2100	61	53	2110	2	9
155	2110	2	10	2100	61	53
156	2300	37	50	2310	1	9
157	2300	28	48	2320	10	16
158	2320	10	16	2300	28	48
159	2300	26	70	2301	7	15
160	2300	32	70	2301	19	15
161	2300	39	70	2308	2	9
162	2300	50	64	2306	1	8
163	2306	7	3	2307	6	5
164	2300	49	81	2312	2	9
165	2312	6	14	2313	7	8
166	2400	48	37	2420	9	16
167	2420	10	16	2400	48	37
168	2400	37	44	2401	15	22
169	2401	16	22	2400	37	44
170	2400	31	54	2421	2	9
171	2421	2	10	2400	31	54
174	2400	52	63	2410	2	9
175	2410	2	10	2400	52	63
176	1000	152	100	1500	41	91
177	1000	153	100	1500	41	91
178	1000	154	100	1500	41	91
179	1000	165	87	1500	59	53
180	1000	165	88	1500	59	53
181	1000	165	89	1500	59	53
182	1000	141	87	1500	23	53
183	1000	141	88	1500	23	53
184	1000	141	89	1500	23	53
185	1000	152	70	1500	41	17
186	1000	153	70	1500	41	17
187	1000	154	70	1500	41	17
188	1500	40	98	1000	153	103
189	1500	41	98	1000	153	103
190	1500	42	98	1000	153	103
191	1500	40	14	1000	153	68
192	1500	41	14	1000	153	68
193	1500	42	14	1000	153	68
194	1500	65	52	1000	170	88
195	1500	65	53	1000	170	88
196	1500	65	54	1000	170	88
197	1500	17	52	1000	138	88
198	1500	17	53	1000	138	88
199	1500	17	54	1000	138	88
200	1000	152	241	100	424	259
201	1000	153	241	100	424	259
202	1000	154	241	100	424	259
203	1000	281	87	100	475	196
204	1000	281	88	100	475	196
205	1000	281	89	100	475	196
206	1000	22	87	100	374	195
207	1000	22	88	100	374	195
208	1000	22	89	100	374	195
209	100	423	253	1000	153	235
210	100	424	253	1000	153	235
211	100	425	253	1000	153	235
212	100	470	195	1000	277	88
213	100	470	196	1000	277	88
214	100	470	197	1000	277	88
215	100	378	194	1000	27	88
216	100	378	195	1000	27	88
217	100	378	196	1000	27	88
218	100	681	343	2000	44	31
219	2000	45	31	100	682	343
220	100	134	218	2300	51	54
221	100	134	219	2300	51	55
222	2300	52	54	100	135	218
223	2300	52	55	100	135	219
224	1101	27	20	1102	4	15
226	1102	10	11	1104	2	6
227	1102	10	12	1104	2	7
228	1102	10	6	1105	3	7
229	1150	2	9	1000	216	43
230	1151	0	9	1000	216	148
232	1000	206	37	1152	10	14
233	1152	10	14	1000	206	37
236	1092	9	24	1000	73	60
237	1081	10	24	1000	118	130
239	1091	2	10	1000	195	50
240	1000	82	83	1111	12	42
241	1111	12	42	1000	82	83
242	1000	100	61	1071	6	24
243	1000	106	61	1071	26	24
244	1121	2	13	1000	238	111
245	1301	22	72	1000	184	151
246	1301	23	72	1000	185	151
247	1302	23	34	1301	28	52
248	1500	41	50	1520	74	40
249	1500	42	50	1520	75	40
250	1301	8	49	1303	9	34
251	1112	12	42	1000	221	83
252	1303	9	4	1305	12	25
253	1303	11	28	1304	10	17
254	1304	17	25	1302	16	0
255	1304	18	25	1302	17	0
256	1305	18	26	1301	22	3
257	1305	19	26	1301	23	3
258	1520	103	21	1502	8	16
262	1521	49	80	1520	74	19
263	1521	50	80	1520	79	15
266	1521	94	71	1506	16	19
267	1521	95	71	1506	17	19
268	1521	78	71	1510	7	14
269	1521	79	71	1510	8	14
270	1521	66	71	1509	7	14
271	1521	67	71	1509	8	14
273	1521	0	74	1504	29	18
274	1521	0	75	1504	29	19
276	1521	31	71	1508	7	14
277	1521	32	71	1508	8	14
278	1521	17	71	1507	7	14
279	1521	18	71	1507	8	14
284	1521	49	22	1511	8	19
285	1521	50	22	1511	9	19
287	1518	0	3	1511	16	3
288	1518	0	4	1511	16	4
289	1518	35	3	1512	0	7
290	1518	35	4	1512	0	8
293	2198	0	6	2112	18	11
296	1201	14	23	1000	154	29
297	1202	11	45	1201	13	7
298	1202	12	45	1201	14	7
299	1202	13	45	1201	15	7
300	1203	21	13	1201	5	14
301	1203	21	14	1201	5	15
302	1204	40	35	1203	16	13
304	1205	9	23	1201	23	14
305	1205	9	24	1201	23	15
306	1206	42	40	1201	21	9
307	1206	43	40	1201	22	9
308	1401	33	67	1400	14	6
309	1401	34	67	1400	15	6
310	1401	35	67	1400	16	6
311	1402	23	34	1401	34	8
312	1402	24	34	1401	35	8
313	1403	5	6	1401	58	58
314	1403	5	7	1401	58	59
315	1400	14	23	1000	122	161
316	1400	15	23	1000	123	161
317	1403	5	31	1400	27	14
318	1403	5	32	1400	27	15
319	1012	17	24	1000	201	108
320	1011	4	13	1000	94	98
321	1022	15	24	1000	102	108
322	1021	4	13	1000	216	99
323	1031	4	13	1000	196	78
324	1061	15	24	1000	72	104
327	2010	14	20	2000	52	39
328	2001	5	13	2000	35	25
329	2013	9	16	2000	35	42
330	2014	2	9	2000	42	72
331	2112	9	16	2100	40	36
332	2198	0	5	2112	18	10
333	2120	3	9	2100	49	58
334	2121	3	9	2100	37	52
337	2110	2	9	2100	61	53
338	2310	1	9	2300	37	50
339	2301	7	15	2300	26	70
340	2301	19	15	2300	32	70
341	2308	2	9	2300	39	70
342	2306	1	8	2300	50	64
343	2307	6	5	2306	7	3
344	2312	2	9	2300	49	81
345	2313	7	8	2312	6	14
346	2420	9	16	2400	48	37
347	2401	15	22	2400	37	44
348	2421	2	9	2400	31	54
350	2410	2	9	2400	52	63
351	1102	4	15	1101	27	20
353	1104	2	6	1102	10	11
354	1104	2	7	1102	10	12
355	1105	3	7	1102	10	6
356	1000	216	43	1150	2	9
357	1000	216	148	1151	0	9
360	1000	73	60	1092	9	24
361	1000	118	130	1081	10	24
362	1000	195	50	1091	2	10
363	1071	6	24	1000	100	61
364	1071	26	24	1000	106	61
365	1000	238	111	1121	2	13
366	1000	184	151	1301	22	72
367	1000	185	151	1301	23	72
368	1301	28	52	1302	23	34
369	1520	74	40	1500	41	50
370	1520	75	40	1500	42	50
371	1303	9	34	1301	8	49
372	1305	12	25	1303	9	4
373	1304	10	17	1303	11	28
374	1302	16	0	1304	17	25
375	1302	17	0	1304	18	25
376	1301	22	3	1305	18	26
377	1301	23	3	1305	19	26
378	1101	10	16	1000	219	136
379	1800	0	7	1000	188	16
380	1101	27	12	1102	4	8
381	1102	4	8	1101	27	12
382	1102	4	8	1101	27	12
383	1101	27	12	1102	4	8
388	1170	19	6	1171	17	7
389	1171	17	7	1170	19	6
390	1171	17	7	1170	19	6
391	1170	19	6	1171	17	7
392	1171	8	7	1170	10	6
393	1170	10	6	1171	8	7
394	1170	10	6	1171	8	7
395	1171	8	7	1170	10	6
396	1171	22	7	1170	24	6
397	1170	24	6	1171	22	7
398	1170	24	6	1171	22	7
399	1171	22	7	1170	24	6
400	1171	21	1	1172	7	11
401	1172	7	11	1171	21	1
402	1172	7	11	1171	21	1
403	1171	21	1	1172	7	11
412	2110	6	14	2111	9	12
413	2111	9	12	2110	6	14
414	2111	9	12	2110	6	14
415	2110	6	14	2111	9	12
416	1801	10	19	1000	180	17
418	2310	14	11	2311	14	12
419	2311	14	12	2310	14	11
420	3000	48	26	300	704	95
421	3000	49	26	300	705	95
