∞≥πÊ¿« Ω£BASE	11100	225	0	19	1	225	1	1	140	140	1	50	10000	12800	18253	-1	-1	-1	-1	-1	-1	-1	1000	1000	4	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£1	11101	225	0	19	1	225	83	29	87	34	2	0	10001	12801	-1	-1	-1	-1	-1	-1	-1	-1	700	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£2	11102	225	0	19	1	225	125	26	128	33	2	0	10002	12802	-1	-1	-1	-1	-1	-1	-1	-1	700	700	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£3	11103	225	0	19	1	225	122	44	124	52	2	0	10003	12803	-1	-1	-1	-1	-1	-1	-1	-1	600	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£4	11104	225	0	19	1	225	102	36	105	44	2	0	10004	12804	-1	-1	-1	-1	-1	-1	-1	-1	500	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£5	11105	225	0	19	1	225	63	37	81	58	2	0	10005	12805	-1	-1	-1	-1	-1	-1	-1	-1	400	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£6	11106	225	0	19	1	225	83	56	85	66	2	0	10006	12801	-1	-1	-1	-1	-1	-1	-1	-1	300	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£7	11107	225	0	19	1	225	101	54	112	66	2	0	10007	12803	-1	-1	-1	-1	-1	-1	-1	-1	200	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£8	11108	225	0	19	1	225	110	82	112	100	2	0	10006	12805	-1	-1	-1	-1	-1	-1	-1	-1	300	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£9	11109	225	0	19	1	225	120	109	128	119	2	0	10006	10005	12800	-1	-1	-1	-1	-1	-1	-1	300	400	1000	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£10	11110	225	0	19	1	225	106	90	112	100	2	0	10001	10003	12803	-1	-1	-1	-1	-1	-1	-1	800	600	600	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£11	11111	225	0	19	1	225	117	80	130	93	2	0	10003	10004	12800	-1	-1	-1	-1	-1	-1	-1	600	500	1000	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£12	11112	225	0	19	1	225	79	110	86	120	2	0	10001	10002	12806	-1	-1	-1	-1	-1	-1	-1	800	700	300	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£13	11113	225	0	19	1	225	59	111	75	128	2	0	10001	10002	10004	12806	-1	-1	-1	-1	-1	-1	800	700	500	300	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£14	11114	225	0	19	1	225	45	107	62	120	2	0	10002	10005	12801	-1	-1	-1	-1	-1	-1	-1	700	400	800	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£15	11115	225	0	19	1	225	33	96	42	106	2	0	10000	10007	12802	-1	-1	-1	-1	-1	-1	-1	1000	200	700	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£16	11116	225	0	19	1	225	21	123	41	131	2	0	10001	10002	10003	12804	-1	-1	-1	-1	-1	-1	800	700	600	500	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£17	11117	225	0	19	1	225	17	96	25	106	2	0	10001	10003	10004	12803	-1	-1	-1	-1	-1	-1	800	600	500	600	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£18	11118	225	0	19	1	225	21	58	48	100	2	0	10000	10001	10002	10003	10004	12801	-1	-1	-1	-1	1000	800	700	600	500	800	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£19	11119	225	0	19	1	225	21	58	48	100	2	0	10000	10001	10002	10003	10004	12801	-1	-1	-1	-1	1000	800	700	600	500	800	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£20	11120	225	0	19	1	225	51	79	75	106	1	900	12808	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£21	11121	225	0	19	1	225	105	13	123	44	1	950	12809	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£22	11122	225	0	19	1	225	82	94	104	120	1	900	10008	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
∞≥πÊ¿« Ω£23	11123	225	0	19	1	225	71	36	95	69	1	950	10009	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
