1	1	1	1	0	0	41	40	1	3	2	1	0	0	14000	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	
1	1	1	2	0	0	41	46	1	3	2	1	0	0	14000	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	
2	2	1	3	0	0	50	76	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	9	0	
2	2	1	4	0	0	64	46	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	10	0	
2	2	1	5	0	0	69	51	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	10	0	
2	2	1	6	0	0	85	47	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	10	0	
2	2	1	7	0	0	68	58	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	11	0	
2	2	1	8	0	0	93	57	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	11	0	
2	2	1	9	0	0	33	57	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	11	0	
2	2	1	10	0	0	86	58	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	12	0	
2	2	1	11	0	0	46	36	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	12	0	
2	2	1	12	0	0	37	52	1	3	5	1	0	0	14001	14002	14003	14004	14005	14006	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	12	0	
